workerid,gender,nativeLanguage,exampleCounterfactual,actionID.1,actionID.2,actionID.3,actionID.4,actionID.5,actionID.6,actionID.7,actionID.8,actionID.9,actionID.10,actionID.11,actionID.12,actionID.13,actionID.14,actionID.15,action.1,action.2,action.3,action.4,action.5,action.6,action.7,action.8,action.9,action.10,action.11,action.12,action.13,action.14,action.15,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,order.11,order.12,order.13,order.14,order.15,freeResponsesOrdered.1,freeResponsesOrdered.2,freeResponsesOrdered.3,freeResponsesOrdered.4,freeResponsesOrdered.5,freeResponsesOrdered.6,freeResponsesOrdered.7,freeResponsesOrdered.8,freeResponsesOrdered.9,freeResponsesOrdered.10,freeResponsesOrdered.11,freeResponsesOrdered.12,freeResponsesOrdered.13,freeResponsesOrdered.14,freeResponsesOrdered.15,counterfactualJudgmentsOrdered.1,counterfactualJudgmentsOrdered.2,counterfactualJudgmentsOrdered.3,counterfactualJudgmentsOrdered.4,counterfactualJudgmentsOrdered.5,counterfactualJudgmentsOrdered.6,counterfactualJudgmentsOrdered.7,counterfactualJudgmentsOrdered.8,counterfactualJudgmentsOrdered.9,counterfactualJudgmentsOrdered.10,counterfactualJudgmentsOrdered.11,counterfactualJudgmentsOrdered.12,counterfactualJudgmentsOrdered.13,counterfactualJudgmentsOrdered.14,counterfactualJudgmentsOrdered.15,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6
12,M,English,1,15,5,13,1,9,4,8,10,7,3,6,11,12,2,14,punched the wall,laughed,sighed,cried,danced,jumped,cursed,frowned,slept,yelled,screamed,relaxed,sat down,smiled,killed himself,14,4,12,0,8,3,7,9,6,2,5,10,11,1,13,his wife left him,he was happy,he was angry,he was depressed,the joke was funny,he was afraid,he was tired,he was pissed,he did well on his report card,he was annoyed,he was done with work,she was dizzy,she was tired,he was depressed,he was angry,1,2,1,1,2,1,1,3,3,2,3,1,2,1,1,61760,54503,43628,38264,34297,35571
13,M,English,3,7,1,8,11,13,4,3,15,2,14,5,9,12,6,10,slept,cried,cursed,relaxed,sighed,jumped,yelled,punched the wall,smiled,killed himself,laughed,danced,sat down,screamed,frowned,6,0,7,10,12,3,2,14,1,13,4,8,11,5,9,his cat died,he had some M&Ms,he was a rebel,the Pointer Sisters told him to,he looked in a mirror,he saw Michael Jackson,he was tired,he hit his finger,Men at Work came on the radio,he smelled like an elderly woman,he was high,his legs were nowhere to be found,he was bored,he spent too much time on 4chan,why not,2,4,1,1,5,2,1,3,3,5,5,7,3,5,3,26582,41205,56670,30085,41553,20747
14,F,English,5,4,15,9,11,10,1,14,12,13,2,8,3,5,6,7,jumped,punched the wall,danced,relaxed,frowned,cried,killed himself,sat down,sighed,smiled,cursed,yelled,laughed,screamed,slept,3,14,8,10,9,0,13,11,12,1,7,2,4,5,6,he was sad.,he was interested.,he was afraid.,he was excited.,he was amused.,he was shocked.,he was exhausted.,he was upset.,he was happy.,he was confused.,he was comfortable.,he was tired.,he was frustrated. ,he was depressed.,he was angry.,4,7,6,2,3,6,3,5,3,6,6,7,6,2,1,43972,38465,39730,43593,45921,38703
15,F,English,2,3,14,15,11,6,7,10,4,13,9,5,2,12,1,8,yelled,killed himself,punched the wall,relaxed,screamed,slept,frowned,jumped,sighed,danced,laughed,smiled,sat down,cried,cursed,2,13,14,10,5,6,9,3,12,8,4,1,11,0,7,her mom died,his girlfriend loved him,he was irritated,he wanted to,he heard a great joke,he couldn't get his way,he was tired,he dropped something on his toe,he was feeling exuberant,he was upset,he was reading a book,he was tired of standing,he had too much homework,he was weak,he has no willpower,1,3,6,6,2,1,2,2,3,1,7,1,5,3,2,71380,31321,43602,34332,35083,27295
16,M,English,5,6,10,4,13,2,9,15,11,12,7,3,14,1,5,8,screamed,frowned,jumped,sighed,smiled,danced,punched the wall,relaxed,sat down,slept,yelled,killed himself,cried,laughed,cursed,5,9,3,12,1,8,14,10,11,6,2,13,0,4,7,he was sad,he was happy,he was upset,he was excited,he was happy,he was scared,he was sleepy,he was angry,he was excited,he was sad,he was at ease,he was tired,he was bored,he was depressed,he was angry,6,5,5,6,5,6,2,5,3,2,3,6,6,1,5,29664,39749,34214,31899,32786,30753
17,F,English,1,2,12,1,5,13,15,9,3,8,14,6,10,7,11,4,smiled,sat down,cried,laughed,sighed,punched the wall,danced,yelled,cursed,killed himself,screamed,frowned,slept,relaxed,jumped,1,11,0,4,12,14,8,2,7,13,5,9,6,10,3,his father died,he saw a pretty girl,his dog got loose,he heard a loud sound,Bill told a funny joke,he was mad,he was tired,he struck his thumb with a hammer,Michelle looked so pretty and soft music was playing,he was sad,the job was finished,he was tired,he was frustrated by something his girlfriend did,he was depressed,Lisa made him so mad,1,3,2,4,5,1,1,2,2,4,4,5,2,1,3,44380,46531,45826,46321,32113,28404
18,M,english,1,5,9,13,15,6,14,8,3,4,12,10,1,11,2,7,laughed,danced,sighed,punched the wall,screamed,killed himself,cursed,yelled,jumped,sat down,frowned,cried,relaxed,smiled,slept,4,8,12,14,5,13,7,2,3,11,9,0,10,1,6,his cat died.,he was happy.,his favorite team won.,he dunked.,he was tickled.,he was scared.,he was tired.,he hurt himself.,his favorite song was on.,he was sad.,he finished his studying.,he was tired.,he failed his exam.,of bullying.,he lost a huge bet. ,3,5,4,4,5,2,4,3,3,3,4,4,2,3,1,24758,23406,22501,21185,17462,14997
19,F,english,5,9,7,15,14,6,8,5,4,12,2,10,13,3,1,11,danced,slept,punched the wall,killed himself,screamed,cursed,laughed,jumped,sat down,smiled,frowned,sighed,yelled,cried,relaxed,8,6,14,13,5,7,4,3,11,1,9,12,2,0,10,sad,happy,frustrated,crazy,fun,mad,tired,angry,fun,sad,happy,tired,frustarted,sad,angry,5,4,5,5,6,5,5,5,4,6,5,4,5,5,5,20103,12977,13324,16785,25694,25910
20,F,English,2,15,12,1,2,10,3,4,6,8,14,13,9,7,11,5,punched the wall,sat down,cried,smiled,frowned,yelled,jumped,screamed,cursed,killed himself,sighed,danced,slept,relaxed,laughed,14,11,0,1,9,2,3,5,7,13,12,8,6,10,4,his mom died,he won the prize,his team won,the mouse ran by,the movie was funny,the movie scared him,he was tired,his hit his toe,he liked the music,he was upset,it was the end of the day,he was tired,he was content,he felt hopeless,he was angry,4,5,2,3,5,2,7,2,2,2,2,6,4,1,1,25993,33588,21504,18844,21751,18964
21,F,english,4,6,5,11,2,15,14,13,10,7,4,8,9,3,12,1,screamed,laughed,relaxed,smiled,punched the wall,killed himself,sighed,frowned,slept,jumped,cursed,danced,yelled,sat down,cried,5,4,10,1,14,13,12,9,6,3,7,8,2,11,0,he was sad,he finished the race,he was angry,he was scared,the joke was funny,he saw a rat,he was tired,he was angry,he was happy,he didn't like his lunch,the test was over,he was tired,the conversation was tiring,he was depressed,he was angry,3,4,4,4,2,2,5,4,5,3,3,5,4,2,2,49494,44838,174083,31280,21135,23851
22,M,English,2,2,7,15,10,6,3,13,14,4,11,12,5,9,1,8,smiled,slept,punched the wall,frowned,screamed,yelled,sighed,killed himself,jumped,relaxed,sat down,laughed,danced,cried,cursed,1,6,14,9,5,2,12,13,3,10,11,4,8,0,7,he was sad.,he saw something funny.,he was mad.,he was happy.,he saw something funny.,he was frightened.,he was tired.,he was angry.,it was his wedding.,he was upset.,he was tired.,he was tired.,he was frustrated.,he was depressed.,he was angry.,1,4,1,4,1,1,1,3,4,1,4,4,4,4,1,32784,27184,35933,38411,24403,22750
23,F,English,4,8,5,1,6,14,3,11,2,12,15,10,13,7,9,4,cursed,laughed,cried,screamed,killed himself,yelled,relaxed,smiled,sat down,punched the wall,frowned,sighed,slept,danced,jumped,7,4,0,5,13,2,10,1,11,14,9,12,6,8,3,she missed him so much,he felt happy,no one could hear him,he was full of joy,the story was funny,he was startled,he was sleepy,he was mad,he loved the song,he didn't understand,he was so tired,he was exhasted,he was frustraited,he couldn't deal with the pain,he was angry,6,6,2,3,6,2,6,5,3,5,6,6,5,2,2,55129,56762,54295,38889,27728,17650
24,M,English,1,2,6,7,9,4,11,12,3,10,8,13,1,15,5,14,smiled,screamed,slept,danced,jumped,relaxed,sat down,yelled,frowned,cursed,sighed,cried,punched the wall,laughed,killed himself,1,5,6,8,3,10,11,2,9,7,12,0,14,4,13,he was hurt.,he was happy,he was mad.,he was filled with joy,he was happy.,she was mad,he was tired,he was angry.,he was excited,he was sad.,he was tired,he was worn out.,he was upset.,he was depressed.,he was mad.,3,1,1,1,1,3,2,1,4,3,3,1,2,3,1,272120,29013,26239,27878,12177,15626
25,M,english,2,10,1,6,11,14,15,8,2,7,3,9,13,5,4,12,frowned,cried,screamed,relaxed,killed himself,punched the wall,cursed,smiled,slept,yelled,danced,sighed,laughed,jumped,sat down,9,0,5,10,13,14,7,1,6,2,8,12,4,3,11,he was sad,he was happy,he was angry,of the snake,of a joke,he was angry,he was tired,he was angry,he was happy,he was upset,the day was over,his feet were tired,he was bored,he was depressed,he was,2,5,1,1,4,2,2,6,3,4,6,4,6,1,1,26662,30187,22325,29199,27537,15469
26,M,english,1,15,4,12,3,11,7,14,5,13,2,9,6,10,1,8,punched the wall,jumped,sat down,yelled,relaxed,slept,killed himself,laughed,sighed,smiled,danced,screamed,frowned,cried,cursed,14,3,11,2,10,6,13,4,12,1,8,5,9,0,7,He was sad,Mike laughed at his joke,He stubbed his toe,Simon told him to,He thought the joke was funny,He was scared,He was tired,He was angry ,He was drunk ,He was unhappy,The cop put away his gun,His feet hurt,He didn't think the joke was funny,He hated his life,He was angry,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86006,100194,91702,39557,18402,12093
27,M,English,2,6,3,15,14,8,7,11,13,5,1,12,4,10,2,9,screamed,yelled,punched the wall,killed himself,cursed,slept,relaxed,sighed,laughed,cried,sat down,jumped,frowned,smiled,danced,5,2,14,13,7,6,10,12,4,0,11,3,9,1,8,of these damn onions,the light stayed green,the fan was too loud,his wife asked him to ,his neighbor just got his car stuck in the culvert,he saw a spider,it was four in the morning,he hit his thumb with a hammer,this was his favorite song,he doesn't like Charlie's wife,his bonus came in,his feet were tired,he's tired of your crap,he was an alcoholic and his family was being torn apart,his cat peed on his trousers,4,5,2,1,6,2,6,2,6,5,3,6,2,4,3,75969,63070,52519,30090,28750,23860
28,F,English,2,13,3,8,9,15,2,12,11,14,5,10,4,6,1,7,sighed,yelled,cursed,danced,punched the wall,smiled,sat down,relaxed,killed himself,laughed,frowned,jumped,screamed,cried,slept,12,2,7,8,14,1,11,10,13,4,9,3,5,0,6,he just finished reading a sad book.,he was pleased to hear that his boyfriend was happy with his gift.,he was angry about his bills.,he was standing on a trampoline.,he had just heard a funny joke.,he saw something scary on the TV screen.,it was the weekend and he didn't have to get up early in the morning.,he hurt his thumb while doing housework.,he was happy.,he was not happy to hear that he would have to go to work on his day off.,he no longer had to worry about student loan debt.,he had just received life-changing news.,someone was not listening to him.,no one gave him the support and mental health resources that he needed.,he just found out he did not get the promotion.,1,1,1,3,3,1,1,1,6,2,1,7,2,2,1,42816,56514,64394,30884,42465,40178
29,F,English,4,10,14,4,9,11,13,2,3,12,15,7,1,5,8,6,frowned,killed himself,jumped,danced,relaxed,sighed,smiled,yelled,sat down,punched the wall,slept,cried,laughed,cursed,screamed,9,13,3,8,10,12,1,2,11,14,6,0,4,7,5,his grandmother died,he met his wife for lunch.,his daughter wouldn't clean up her room.,he was fed up with everything.,his daughter did something funny,he got scared,he was really tired,he slammed his finger in a door,he was at a nightclub.,he didn't do well on his test.,he had a busy day.,dinner was ready.,he was frustrated.,he couldn't handle the pressures of everyday life.,he does not know how to control his anger,3,7,3,1,5,2,7,6,1,2,5,7,4,2,1,51489,50805,59524,33687,29156,24130
30,M,English,2,6,10,11,13,9,12,3,2,14,15,4,8,5,1,7,screamed,frowned,relaxed,sighed,danced,sat down,yelled,smiled,killed himself,punched the wall,jumped,cursed,laughed,cried,slept,5,9,10,12,8,11,2,1,13,14,3,7,4,0,6,he was sad,he was happy,he was mad,he was joyful,he made a joke,he was startled,he was tired,he was mad,he was happy,he was sad,he was tired,he was tired,he was frustrated,he was an idiot,he was mad,5,5,3,5,6,3,7,5,5,5,7,7,5,7,5,22114,18544,17086,16393,17042,16770
31,M,English,1,3,8,7,12,11,10,5,1,4,15,13,14,9,6,2,yelled,cursed,slept,sat down,relaxed,frowned,laughed,cried,jumped,punched the wall,sighed,killed himself,danced,screamed,smiled,2,7,6,11,10,9,4,0,3,14,12,13,8,5,1,his mom passed away,his baby daughter made him happy,he was late,he was startled,of a tv show he was watching,he was mowing the lawn,he drank too much,he hurt himself,he was jovial,he was concerned,it was weekend,he needed to write,he felt helpless, he could not cope anymore,he was angry about work,1,4,1,1,3,1,3,1,3,2,3,3,4,1,1,50575,60213,69019,55900,34353,37357
32,M,english,3,5,13,4,11,15,8,2,9,12,6,10,1,3,7,14,laughed,sighed,jumped,relaxed,punched the wall,cursed,smiled,danced,sat down,screamed,frowned,cried,yelled,slept,killed himself,4,12,3,10,14,7,1,8,11,5,9,0,2,6,13,he was upset,he was happy,he was far away,he was scared,he thought it was funny,he was mad,he was sleepy,he was mad,he was e xcited,he was upset,he was tired,he was tired,he was bored,he was fed up,he was mad,2,2,3,2,2,3,3,3,3,3,3,2,4,2,4,20913,20107,28198,16101,23621,32249
33,M,English,2,5,6,8,14,7,11,9,10,15,2,12,4,1,13,3,laughed,screamed,cursed,killed himself,slept,relaxed,danced,frowned,punched the wall,smiled,sat down,jumped,cried,sighed,yelled,4,5,7,13,6,10,8,9,14,1,11,3,0,12,2,he lose his dog,he received a nice text,he was angry,he was training,Sara fell,he saw a monster,he was tired,he hit himself,he loved that song,he was mad,it was sunday,he was dizzy,he was sad,he was depressed,he was upser,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,40529,33886,36425,18771,23282,16944
34,F,English,1,9,1,11,3,4,15,13,2,7,14,10,5,12,6,8,danced,cried,relaxed,yelled,jumped,punched the wall,sighed,smiled,slept,killed himself,frowned,laughed,sat down,screamed,cursed,8,0,10,2,3,14,12,1,6,13,9,4,11,5,7,he was sad.,he was in love.,he was angry.,he was scared.,the joke was funny.,he was excited about the football game.,he was tired.,he was angry.,he was happy.,he didn't understand.,all his work was done.,his legs were tired.,he was melancholy.,he was depressed.,he was mad.,1,5,1,1,3,3,4,3,3,3,3,4,2,2,1,25782,21931,27154,25389,27087,26282
35,F,eng,1,9,10,15,2,8,14,13,6,7,1,4,5,3,11,12,danced,frowned,punched the wall,smiled,cursed,killed himself,sighed,screamed,slept,cried,jumped,laughed,yelled,relaxed,sat down,8,9,14,1,7,13,12,5,6,0,3,4,2,10,11,he could not be consoled.,he felt good inside.,he wanted to catch someone's attention.,he wanted to avoid the alligator.,something was hilarious.,he was very frustrated.,he was exhausted.,he was angry.,he was in a good mood.,he was feeling grim.,he needed rest.,he was tired of standing.,he was fed up.,he did not want to live anymore.,he was upset about something.,2,2,2,1,1,3,3,3,5,2,4,3,5,1,1,26421,33044,26356,20512,36661,22296
36,M,English,2,11,10,2,9,15,13,1,4,7,8,6,5,14,12,3,relaxed,frowned,smiled,danced,punched the wall,sighed,cried,jumped,slept,cursed,screamed,laughed,killed himself,sat down,yelled,10,9,1,8,14,12,0,3,6,7,5,4,13,11,2,his mother died,he was getting an awesome blowjob,he was angry,he won the lottery,he was about to kill Tom,there was a maniac in his house,he stayed up all night,he got a speeding ticket,the music was rocking,his pet hamster died,he just got home from work and wants to unwind,he was tired,it was going to be another one of those days,his wife left him,he was angry at himself,1,6,1,1,5,1,1,1,1,4,4,5,1,3,1,84857,43104,49356,29751,19231,29810
37,F,"English, Spanish",2,7,15,9,6,4,13,11,12,1,14,2,3,10,8,5,slept,punched the wall,danced,screamed,jumped,sighed,relaxed,sat down,cried,killed himself,smiled,yelled,frowned,cursed,laughed,6,14,8,5,3,12,10,11,0,13,1,2,9,7,4,he was sad,he was happy,he was mad,he was startled,he was happy,he was surprised ,he was tired,he hurt himself,he was happy,he was upset,he was content,he was tired,he was lonely,he was depressed,he was angry,2,5,2,2,5,3,2,5,3,4,5,7,6,2,1,27514,26887,19953,21882,109059,17805
38,F,English,5,6,1,2,10,4,11,13,12,14,3,7,5,9,8,15,screamed,cried,smiled,frowned,jumped,relaxed,sighed,sat down,killed himself,yelled,slept,laughed,danced,cursed,punched the wall,5,0,1,9,3,10,12,11,13,2,6,4,8,7,14,his dog died.,he received a promotion at work.,he lost his temper.,he had to get out of the way of the remote control car.,Lucy's antics were hilarious.,the tsunami engulfed the beach and threatened his hotel.,he was tired.,he dropped his wrench into the engine compartment.,he was celebrating his friend's wedding.,the repairs on his car doubled what he expected to pay.,the Patriots regained the lead.,he had to confer with his clients.,Steve beat him once again at fantasy football.,he couldn't see anything but darkness ahead.,he lost his self control.,1,5,5,1,5,1,7,6,5,1,6,7,6,7,7,93994,99565,112096,39371,27308,20460
39,M,english,5,2,15,11,13,4,14,8,3,5,1,9,7,10,12,6,smiled,punched the wall,relaxed,sighed,jumped,killed himself,cursed,yelled,laughed,cried,danced,slept,frowned,sat down,screamed,1,14,10,12,3,13,7,2,4,0,8,6,9,11,5,because he was sad,he got a good grade,because he was mad,because he was mad,because something was funny,he was mad,because he was tired,because he was mad,because he was happy,because he was mad,because he was off work,because he was tired,because he was mad,because he was upset,because he was mad,6,3,3,4,5,6,6,5,5,4,5,5,7,6,6,29184,24518,20153,7447,9444,9313
40,F,English,1,13,9,2,1,7,3,14,10,5,4,15,8,6,11,12,sighed,danced,smiled,cried,slept,yelled,killed himself,frowned,laughed,jumped,punched the wall,cursed,screamed,relaxed,sat down,12,8,1,0,6,2,13,9,4,3,14,7,5,10,11,he was sad he lost a friend,his date looked beautiful,he was angry with his boss,a spider was crawling across the floor,his friend told a funny joke,someone was in danger,he had to be up for work in the morning,he lost his temper,he was at a wedding,he did not like the tone someone was using,he was finally finished with his course,he was tired from working all day,he wanted to be somewhere else,he couldn't see a way out,he was at his limit ,2,6,2,1,5,1,6,3,4,2,5,6,2,2,1,42250,28964,33067,15729,18031,12658
41,M,English,1,4,6,9,10,14,11,13,7,12,3,15,8,2,1,5,jumped,screamed,danced,frowned,killed himself,relaxed,sighed,slept,sat down,yelled,punched the wall,cursed,smiled,cried,laughed,3,5,8,9,13,10,12,6,11,2,14,7,1,0,4,he was sad.,he was happy.,he was calling the dog.,he was startled.,he got the joke.,he was angry.,he was tired.,he was frustrated.,his girl made him.,he was sad.,he was stoned.,he wanted to use the computer.,he was relieved.,he was depressed,he was angry,1,5,1,1,1,1,6,5,5,1,6,6,1,1,1,71180,84304,47204,20705,37390,28451
42,F,English,5,10,7,11,2,13,12,3,4,5,9,14,15,8,6,1,frowned,slept,relaxed,smiled,sighed,sat down,yelled,jumped,laughed,danced,killed himself,punched the wall,cursed,screamed,cried,9,6,10,1,12,11,2,3,4,8,13,14,7,5,0,someone died,he got a phone call he didn't expect,he was angry,he was exuberant,he was told a funny joke,he was frightened,because he was tired,his football team lost,he was happy,because it was raining outside,his work day was finished,he had been on his feet all day,he was frustrated,because he suffered from depression,he didn't want to take his anger out on a person,5,7,1,2,7,1,2,6,7,7,6,6,5,3,1,73255,48123,65628,51559,44009,50630
43,M,English,3,8,13,4,15,9,11,12,3,6,1,10,5,7,2,14,cursed,sighed,jumped,punched the wall,danced,relaxed,sat down,yelled,screamed,cried,frowned,laughed,slept,smiled,killed himself,7,12,3,14,8,10,11,2,5,0,9,4,6,1,13,he wife asked for a divorce.,His wife show him her underwear.,He was lost in the woods.,he was startled.,he read a funny joke.,a spider ran up his arm.,he was tired and it was bedtime.,he cut himself.,he was really happy.,he was sad about the letter.,he just got off of work.,he was tired from a long day of hiking.,he was bored.,he couldn't find a better solution.,he was mad.,2,7,4,5,7,4,7,5,5,5,7,6,5,1,1,35863,52038,55894,31771,19912,17616
