workerid,gender,age,nativeLanguage,browser,browserVersion,browserOS,behaviorID.1,behaviorID.2,behaviorID.3,behaviorID.4,behaviorID.5,behaviorID.6,behaviorID.7,behaviorID.8,behaviorID.9,behaviorID.10,behaviorID.11,behaviorID.12,behaviorID.13,behaviorID.14,behaviorID.15,behaviorID.16,behaviorID.17,behaviorID.18,behaviorID.19,behaviorID.20,behaviorType.1,behaviorType.2,behaviorType.3,behaviorType.4,behaviorType.5,behaviorType.6,behaviorType.7,behaviorType.8,behaviorType.9,behaviorType.10,behaviorType.11,behaviorType.12,behaviorType.13,behaviorType.14,behaviorType.15,behaviorType.16,behaviorType.17,behaviorType.18,behaviorType.19,behaviorType.20,behavior.1,behavior.2,behavior.3,behavior.4,behavior.5,behavior.6,behavior.7,behavior.8,behavior.9,behavior.10,behavior.11,behavior.12,behavior.13,behavior.14,behavior.15,behavior.16,behavior.17,behavior.18,behavior.19,behavior.20,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,order.11,order.12,order.13,order.14,order.15,order.16,order.17,order.18,order.19,order.20,likelihoodRatingsDesireRaw.1,likelihoodRatingsDesireRaw.2,likelihoodRatingsDesireRaw.3,likelihoodRatingsDesireRaw.4,likelihoodRatingsDesireRaw.5,likelihoodRatingsDesireRaw.6,likelihoodRatingsDesireRaw.7,likelihoodRatingsDesireRaw.8,likelihoodRatingsDesireRaw.9,likelihoodRatingsDesireRaw.10,likelihoodRatingsDesireRaw.11,likelihoodRatingsDesireRaw.12,likelihoodRatingsDesireRaw.13,likelihoodRatingsDesireRaw.14,likelihoodRatingsDesireRaw.15,likelihoodRatingsDesireRaw.16,likelihoodRatingsDesireRaw.17,likelihoodRatingsDesireRaw.18,likelihoodRatingsDesireRaw.19,likelihoodRatingsDesireRaw.20,likelihoodRatingsBeliefRaw.1,likelihoodRatingsBeliefRaw.2,likelihoodRatingsBeliefRaw.3,likelihoodRatingsBeliefRaw.4,likelihoodRatingsBeliefRaw.5,likelihoodRatingsBeliefRaw.6,likelihoodRatingsBeliefRaw.7,likelihoodRatingsBeliefRaw.8,likelihoodRatingsBeliefRaw.9,likelihoodRatingsBeliefRaw.10,likelihoodRatingsBeliefRaw.11,likelihoodRatingsBeliefRaw.12,likelihoodRatingsBeliefRaw.13,likelihoodRatingsBeliefRaw.14,likelihoodRatingsBeliefRaw.15,likelihoodRatingsBeliefRaw.16,likelihoodRatingsBeliefRaw.17,likelihoodRatingsBeliefRaw.18,likelihoodRatingsBeliefRaw.19,likelihoodRatingsBeliefRaw.20,likelihoodRatingsEmotionRaw.1,likelihoodRatingsEmotionRaw.2,likelihoodRatingsEmotionRaw.3,likelihoodRatingsEmotionRaw.4,likelihoodRatingsEmotionRaw.5,likelihoodRatingsEmotionRaw.6,likelihoodRatingsEmotionRaw.7,likelihoodRatingsEmotionRaw.8,likelihoodRatingsEmotionRaw.9,likelihoodRatingsEmotionRaw.10,likelihoodRatingsEmotionRaw.11,likelihoodRatingsEmotionRaw.12,likelihoodRatingsEmotionRaw.13,likelihoodRatingsEmotionRaw.14,likelihoodRatingsEmotionRaw.15,likelihoodRatingsEmotionRaw.16,likelihoodRatingsEmotionRaw.17,likelihoodRatingsEmotionRaw.18,likelihoodRatingsEmotionRaw.19,likelihoodRatingsEmotionRaw.20,likelihoodRatingsSituationRaw.1,likelihoodRatingsSituationRaw.2,likelihoodRatingsSituationRaw.3,likelihoodRatingsSituationRaw.4,likelihoodRatingsSituationRaw.5,likelihoodRatingsSituationRaw.6,likelihoodRatingsSituationRaw.7,likelihoodRatingsSituationRaw.8,likelihoodRatingsSituationRaw.9,likelihoodRatingsSituationRaw.10,likelihoodRatingsSituationRaw.11,likelihoodRatingsSituationRaw.12,likelihoodRatingsSituationRaw.13,likelihoodRatingsSituationRaw.14,likelihoodRatingsSituationRaw.15,likelihoodRatingsSituationRaw.16,likelihoodRatingsSituationRaw.17,likelihoodRatingsSituationRaw.18,likelihoodRatingsSituationRaw.19,likelihoodRatingsSituationRaw.20,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10,reactionTime.11,reactionTime.12,reactionTime.13,reactionTime.14,reactionTime.15,reactionTime.16,reactionTime.17,reactionTime.18,reactionTime.19,reactionTime.20
13,F,25,english,Chrome,47,Mac,4,11,16,8,12,20,15,17,13,14,10,19,1,3,5,7,6,2,9,18,intentional,expressions,unintentional,expressions,expressions,ambiguous,unintentional,unintentional,unintentional,unintentional,expressions,ambiguous,intentional,intentional,intentional,expressions,intentional,intentional,expressions,ambiguous,stole a pound of peaches,laughed,snored in his sleep,cried,danced,interrupted his mother,yawned during a lecture,stubbed his toe,fell down,won the lottery,jumped up and down,ignored Greg's arguments,read a book,bought a round of drinks for everyone,invited Sue to have lunch,smiled,watered his new plants,bought a drink,yelled loudly,drove above the speed limit,3,10,15,7,11,19,14,16,12,13,9,18,0,2,4,6,5,1,8,17,12,2,0,0,25,18,1,2,0,5,2,11,75,24,42,2,66,18,5,84,7,2,3,6,8,2,3,2,2,8,2,74,2,32,1,3,61,9,4,2,77,88,0,79,34,56,21,3,0,1,60,48,3,67,64,92,38,59,71,48,85,81,87,98,89,88,82,92,95,96,85,70,48,77,28,86,51,71,89,93,14375,8824,15664,13326,7808,7308,7472,7139,9981,6774,10916,23139,11864,6168,7617,8996,8897,7376,13338,6772
14,F,25,english,Chrome,47,Windows,8,17,2,16,19,4,18,6,14,7,15,20,12,1,10,13,11,9,3,5,expressions,unintentional,intentional,unintentional,ambiguous,intentional,ambiguous,intentional,unintentional,expressions,unintentional,ambiguous,expressions,intentional,expressions,unintentional,expressions,expressions,intentional,intentional,cried,stubbed his toe,bought a drink,snored in his sleep,ignored Greg's arguments,stole a pound of peaches,drove above the speed limit,watered his new plants,won the lottery,smiled,yawned during a lecture,interrupted his mother,danced,read a book,jumped up and down,fell down,laughed,yelled loudly,bought a round of drinks for everyone,invited Sue to have lunch,7,16,1,15,18,3,17,5,13,6,14,19,11,0,9,12,10,8,2,4,6,0,74,0,22,92,69,95,74,10,8,50,61,67,19,0,0,20,72,71,15,0,6,0,75,15,21,4,0,89,4,56,43,10,36,0,74,66,37,6,90,0,27,0,35,4,9,5,0,75,20,34,68,4,62,0,74,63,47,18,52,100,48,56,0,45,35,22,48,6,64,1,0,2,34,100,0,41,0,0,13125,9510,10185,13309,24890,9022,6408,11673,9252,8530,6584,9863,21166,12561,12400,30575,8743,8113,7951,7713
15,F,35,English,Chrome,47,Windows,14,10,6,13,17,2,4,15,3,1,8,9,20,7,16,5,12,11,18,19,unintentional,expressions,intentional,unintentional,unintentional,intentional,intentional,unintentional,intentional,intentional,expressions,expressions,ambiguous,expressions,unintentional,intentional,expressions,expressions,ambiguous,ambiguous,won the lottery,jumped up and down,watered his new plants,fell down,stubbed his toe,bought a drink,stole a pound of peaches,yawned during a lecture,bought a round of drinks for everyone,read a book,cried,yelled loudly,interrupted his mother,smiled,snored in his sleep,invited Sue to have lunch,danced,laughed,drove above the speed limit,ignored Greg's arguments,13,9,5,12,16,1,3,14,2,0,7,8,19,6,15,4,11,10,17,18,95,75,77,3,0,40,12,2,64,81,0,4,15,2,4,15,3,1,8,11,3,2,23,2,2,37,81,33,74,1,40,6,31,87,0,63,3,72,10,6,4,86,39,2,12,55,87,85,24,14,94,81,69,90,2,80,85,87,5,68,81,7,44,97,94,71,9,10,37,11,31,41,39,31,97,8,8,16,51,9,19617,8735,33216,7963,9072,12647,9463,9304,7284,12703,7800,33637,8840,7423,6935,7832,10159,5240,21675,8136
16,M,25,english,Chrome,47,Windows,17,15,5,19,4,10,6,3,8,11,18,14,7,9,1,20,16,12,2,13,unintentional,unintentional,intentional,ambiguous,intentional,expressions,intentional,intentional,expressions,expressions,ambiguous,unintentional,expressions,expressions,intentional,ambiguous,unintentional,expressions,intentional,unintentional,stubbed his toe,yawned during a lecture,invited Sue to have lunch,ignored Greg's arguments,stole a pound of peaches,jumped up and down,watered his new plants,bought a round of drinks for everyone,cried,laughed,drove above the speed limit,won the lottery,smiled,yelled loudly,read a book,interrupted his mother,snored in his sleep,danced,bought a drink,fell down,16,14,4,18,3,9,5,2,7,10,17,13,6,8,0,19,15,11,1,12,69,81,64,43,38,47,42,56,69,57,60,76,39,56,57,53,58,65,60,43,68,65,45,35,45,35,37,39,41,35,30,28,26,35,42,40,40,46,34,33,76,61,51,59,54,55,44,48,51,69,61,47,54,61,68,56,52,40,59,49,62,73,78,49,44,50,61,81,29,60,84,60,75,51,51,37,41,40,47,66,19813,8725,5120,5504,7893,5252,4145,6388,4944,4089,3776,3856,5761,3280,5344,5129,3672,4028,3348,3893
17,F,25,English,Chrome,47,Windows,8,13,10,5,11,12,2,7,20,18,3,9,6,1,19,4,14,17,16,15,expressions,unintentional,expressions,intentional,expressions,expressions,intentional,expressions,ambiguous,ambiguous,intentional,expressions,intentional,intentional,ambiguous,intentional,unintentional,unintentional,unintentional,unintentional,cried,fell down,jumped up and down,invited Sue to have lunch,laughed,danced,bought a drink,smiled,interrupted his mother,drove above the speed limit,bought a round of drinks for everyone,yelled loudly,watered his new plants,read a book,ignored Greg's arguments,stole a pound of peaches,won the lottery,stubbed his toe,snored in his sleep,yawned during a lecture,7,12,9,4,10,11,1,6,19,17,2,8,5,0,18,3,13,16,15,14,2,1,16,83,5,3,94,19,61,93,31,32,96,97,62,94,3,2,1,3,28,2,0,15,3,5,2,27,44,2,65,1,26,83,9,5,2,1,3,1,97,1,32,23,95,78,30,96,15,21,30,97,0,17,72,5,2,1,4,3,61,98,58,73,51,29,85,71,97,65,64,82,63,12,73,80,98,96,83,90,25156,8111,8712,9176,10826,15646,8868,6739,8079,9746,14262,6832,11345,7071,11247,6151,7129,6342,7572,6850
18,F,35,english,Chrome,47,Windows,8,18,12,19,15,13,3,7,4,16,1,10,2,9,17,14,6,20,11,5,expressions,ambiguous,expressions,ambiguous,unintentional,unintentional,intentional,expressions,intentional,unintentional,intentional,expressions,intentional,expressions,unintentional,unintentional,intentional,ambiguous,expressions,intentional,cried,drove above the speed limit,danced,ignored Greg's arguments,yawned during a lecture,fell down,bought a round of drinks for everyone,smiled,stole a pound of peaches,snored in his sleep,read a book,jumped up and down,bought a drink,yelled loudly,stubbed his toe,won the lottery,watered his new plants,interrupted his mother,laughed,invited Sue to have lunch,7,17,11,18,14,12,2,6,3,15,0,9,1,8,16,13,5,19,10,4,2,95,14,31,0,0,51,50,100,0,100,60,91,54,0,0,100,76,0,95,81,24,0,85,0,0,82,100,0,0,0,0,0,1,0,0,0,49,0,0,100,45,86,85,49,0,82,100,15,0,0,0,54,90,0,0,0,74,88,56,1,0,0,2,66,100,0,0,0,100,0,9,2,12,100,100,0,0,79,0,15816,12494,9752,8871,22621,5737,6142,6479,6240,6807,11919,6680,7768,6519,5790,7736,7175,6624,5815,7589
19,M,35,english,Chrome,46,Windows,6,3,8,1,17,15,12,9,18,13,2,11,20,7,10,19,16,4,14,5,intentional,intentional,expressions,intentional,unintentional,unintentional,expressions,expressions,ambiguous,unintentional,intentional,expressions,ambiguous,expressions,expressions,ambiguous,unintentional,intentional,unintentional,intentional,watered his new plants,bought a round of drinks for everyone,cried,read a book,stubbed his toe,yawned during a lecture,danced,yelled loudly,drove above the speed limit,fell down,bought a drink,laughed,interrupted his mother,smiled,jumped up and down,ignored Greg's arguments,snored in his sleep,stole a pound of peaches,won the lottery,invited Sue to have lunch,5,2,7,0,16,14,11,8,17,12,1,10,19,6,9,18,15,3,13,4,18,52,33,77,51,48,53,20,28,22,44,47,44,53,48,32,16,74,80,69,30,33,48,26,24,34,51,41,55,14,30,44,38,77,68,28,18,77,57,79,22,46,82,53,39,44,38,76,40,24,42,81,51,78,85,76,18,66,46,60,45,48,73,66,47,62,51,78,52,82,58,71,74,76,89,76,89,70,79,74,13938,5902,9273,10119,66453,3782,4522,32780,15605,7336,44263,7232,26683,10163,7001,6153,8635,7372,13033,7772
20,F,35,English,Chrome,47,Windows,13,6,9,8,17,5,12,1,2,16,20,4,18,11,19,14,15,10,7,3,unintentional,intentional,expressions,expressions,unintentional,intentional,expressions,intentional,intentional,unintentional,ambiguous,intentional,ambiguous,expressions,ambiguous,unintentional,unintentional,expressions,expressions,intentional,fell down,watered his new plants,yelled loudly,cried,stubbed his toe,invited Sue to have lunch,danced,read a book,bought a drink,snored in his sleep,interrupted his mother,stole a pound of peaches,drove above the speed limit,laughed,ignored Greg's arguments,won the lottery,yawned during a lecture,jumped up and down,smiled,bought a round of drinks for everyone,12,5,8,7,16,4,11,0,1,15,19,3,17,10,18,13,14,9,6,2,3,86,2,1,2,99,38,76,69,2,66,94,40,1,53,1,0,29,1,75,1,3,0,1,3,31,70,72,2,0,66,86,90,2,84,1,2,8,1,71,2,3,93,97,2,0,3,5,34,2,65,3,4,78,2,1,0,69,81,2,96,1,54,62,98,3,2,5,4,86,1,22,0,22,1,88,77,2,29,3,16630,11627,16224,10880,7045,10872,12485,19649,12732,8089,9078,9396,10133,8834,10299,7735,10817,14620,8912,9391
21,F,35,English,Chrome,47,Windows,13,10,6,18,1,9,8,3,11,17,19,2,14,7,4,15,5,20,16,12,unintentional,expressions,intentional,ambiguous,intentional,expressions,expressions,intentional,expressions,unintentional,ambiguous,intentional,unintentional,expressions,intentional,unintentional,intentional,ambiguous,unintentional,expressions,fell down,jumped up and down,watered his new plants,drove above the speed limit,read a book,yelled loudly,cried,bought a round of drinks for everyone,laughed,stubbed his toe,ignored Greg's arguments,bought a drink,won the lottery,smiled,stole a pound of peaches,yawned during a lecture,invited Sue to have lunch,interrupted his mother,snored in his sleep,danced,12,9,5,17,0,8,7,2,10,16,18,1,13,6,3,14,4,19,15,11,0,39,100,100,100,32,19,67,33,0,87,68,100,37,84,0,93,100,0,42,0,64,13,25,78,62,57,29,27,0,75,61,0,69,10,0,13,11,0,24,0,100,14,28,76,100,100,100,98,0,77,50,0,100,71,82,38,93,0,100,99,36,30,79,56,77,87,81,96,100,39,80,100,66,12,55,9,20,100,62,11425,12123,7253,8960,7036,8757,9276,166680,10593,7813,8633,6481,8467,29397,9697,13798,8481,8060,5691,5959
22,F,35,English,Firefox,42,Windows,19,5,1,15,20,4,10,9,2,6,3,18,16,13,7,11,8,17,12,14,ambiguous,intentional,intentional,unintentional,ambiguous,intentional,expressions,expressions,intentional,intentional,intentional,ambiguous,unintentional,unintentional,expressions,expressions,expressions,unintentional,expressions,unintentional,ignored Greg's arguments,invited Sue to have lunch,read a book,yawned during a lecture,interrupted his mother,stole a pound of peaches,jumped up and down,yelled loudly,bought a drink,watered his new plants,bought a round of drinks for everyone,drove above the speed limit,snored in his sleep,fell down,smiled,laughed,cried,stubbed his toe,danced,won the lottery,18,4,0,14,19,3,9,8,1,5,2,17,15,12,6,10,7,16,11,13,75,64,61,81,64,66,46,56,83,52,50,70,73,30,33,61,50,92,25,76,55,21,86,93,32,81,41,24,88,27,76,92,63,72,78,73,66,71,50,54,36,84,31,61,16,40,74,86,70,67,31,40,44,53,52,36,25,36,27,38,49,87,69,23,37,52,80,82,60,77,43,41,50,47,65,42,31,84,27,90,6562,5454,4288,3859,6668,5418,3989,4424,4523,3864,5140,7237,4280,6153,4465,3250,3514,3274,5084,3357
23,M,35,English,Firefox,43,Windows,13,20,18,17,9,16,6,1,2,12,14,15,7,4,8,19,5,11,3,10,unintentional,ambiguous,ambiguous,unintentional,expressions,unintentional,intentional,intentional,intentional,expressions,unintentional,unintentional,expressions,intentional,expressions,ambiguous,intentional,expressions,intentional,expressions,fell down,interrupted his mother,drove above the speed limit,stubbed his toe,yelled loudly,snored in his sleep,watered his new plants,read a book,bought a drink,danced,won the lottery,yawned during a lecture,smiled,stole a pound of peaches,cried,ignored Greg's arguments,invited Sue to have lunch,laughed,bought a round of drinks for everyone,jumped up and down,12,19,17,16,8,15,5,0,1,11,13,14,6,3,7,18,4,10,2,9,51,52,100,0,0,0,100,100,53,49,0,0,0,47,0,42,100,0,100,0,0,0,0,0,0,0,0,43,0,0,0,0,43,0,23,0,0,0,0,0,0,100,52,0,100,0,0,0,100,100,0,100,100,0,100,100,0,0,0,100,100,24,78,100,0,100,0,0,0,15,100,31,0,100,53,1,0,100,40,53,31724,23439,18008,13495,19396,11813,20239,18016,31682,10060,12990,21890,14517,18679,13265,9252,11649,9466,11328,15460
24,F,35,English,Chrome,47,Mac,20,15,7,14,4,3,1,5,17,16,6,10,2,9,19,13,12,11,18,8,ambiguous,unintentional,expressions,unintentional,intentional,intentional,intentional,intentional,unintentional,unintentional,intentional,expressions,intentional,expressions,ambiguous,unintentional,expressions,expressions,ambiguous,expressions,interrupted his mother,yawned during a lecture,smiled,won the lottery,stole a pound of peaches,bought a round of drinks for everyone,read a book,invited Sue to have lunch,stubbed his toe,snored in his sleep,watered his new plants,jumped up and down,bought a drink,yelled loudly,ignored Greg's arguments,fell down,danced,laughed,drove above the speed limit,cried,19,14,6,13,3,2,0,4,16,15,5,9,1,8,18,12,11,10,17,7,53,0,17,0,87,62,88,69,0,0,95,13,91,50,33,2,86,21,70,4,5,1,46,1,30,67,11,74,1,1,25,32,2,17,62,3,2,49,70,19,71,0,81,0,0,41,0,20,0,0,0,85,2,81,34,2,1,73,7,91,3,100,2,98,1,4,2,2,99,99,7,3,6,34,4,94,8,36,42,2,9184,6693,6735,5416,6367,6536,6110,6775,4119,4096,6807,5783,5456,6576,9575,5136,5087,8903,7336,6335
25,M,65,English,Chrome,45,Windows,13,4,17,19,3,20,8,15,11,6,14,10,7,5,18,12,16,9,1,2,unintentional,intentional,unintentional,ambiguous,intentional,ambiguous,expressions,unintentional,expressions,intentional,unintentional,expressions,expressions,intentional,ambiguous,expressions,unintentional,expressions,intentional,intentional,fell down,stole a pound of peaches,stubbed his toe,ignored Greg's arguments,bought a round of drinks for everyone,interrupted his mother,cried,yawned during a lecture,laughed,watered his new plants,won the lottery,jumped up and down,smiled,invited Sue to have lunch,drove above the speed limit,danced,snored in his sleep,yelled loudly,read a book,bought a drink,12,3,16,18,2,19,7,14,10,5,13,9,6,4,17,11,15,8,0,1,17,89,2,26,86,37,8,4,7,92,6,35,10,97,98,92,0,25,99,96,2,50,1,55,49,37,11,1,2,13,1,4,17,23,17,5,0,5,22,3,16,11,10,64,57,84,98,8,99,7,2,84,98,43,34,27,0,73,12,5,99,5,97,12,28,49,36,97,23,53,97,48,39,7,17,36,98,47,27,38,21378,22569,13018,25417,22324,18801,33226,16279,11272,14786,15666,13795,15560,16365,21052,32007,15640,11242,12087,14445
26,M,25,english,Chrome,47,Windows,15,16,5,12,18,11,10,9,1,3,7,14,19,8,17,13,2,20,6,4,unintentional,unintentional,intentional,expressions,ambiguous,expressions,expressions,expressions,intentional,intentional,expressions,unintentional,ambiguous,expressions,unintentional,unintentional,intentional,ambiguous,intentional,intentional,yawned during a lecture,snored in his sleep,invited Sue to have lunch,danced,drove above the speed limit,laughed,jumped up and down,yelled loudly,read a book,bought a round of drinks for everyone,smiled,won the lottery,ignored Greg's arguments,cried,stubbed his toe,fell down,bought a drink,interrupted his mother,watered his new plants,stole a pound of peaches,14,15,4,11,17,10,9,8,0,2,6,13,18,7,16,12,1,19,5,3,46,53,48,41,49,52,53,52,40,49,41,76,44,51,45,43,46,51,51,49,61,57,32,50,62,42,64,46,73,49,64,30,45,56,51,59,46,51,50,46,46,49,47,62,49,59,47,53,44,50,88,51,61,46,59,51,62,65,58,64,57,51,66,42,62,51,49,50,23,71,46,53,48,43,45,49,46,44,45,50,7497,3153,6609,4252,2991,4137,3371,3617,3909,3198,5711,8294,6703,3588,3587,3986,3986,3105,4842,4789
27,F,45,english,Chrome,47,Windows,4,15,16,2,19,13,12,6,5,20,1,9,10,7,18,8,14,3,11,17,intentional,unintentional,unintentional,intentional,ambiguous,unintentional,expressions,intentional,intentional,ambiguous,intentional,expressions,expressions,expressions,ambiguous,expressions,unintentional,intentional,expressions,unintentional,stole a pound of peaches,yawned during a lecture,snored in his sleep,bought a drink,ignored Greg's arguments,fell down,danced,watered his new plants,invited Sue to have lunch,interrupted his mother,read a book,yelled loudly,jumped up and down,smiled,drove above the speed limit,cried,won the lottery,bought a round of drinks for everyone,laughed,stubbed his toe,3,14,15,1,18,12,11,5,4,19,0,8,9,6,17,7,13,2,10,16,98,2,1,83,85,0,23,98,78,89,87,72,0,1,98,1,79,89,3,2,63,1,1,1,19,1,1,1,0,0,2,2,3,1,1,2,2,34,2,1,15,98,2,1,78,0,66,2,67,74,2,98,99,100,2,100,1,76,98,2,76,83,81,14,25,77,44,1,11,19,1,68,97,64,95,94,91,76,69,91,15938,9979,13313,7301,13458,13237,9938,8311,13322,7364,7832,6156,6291,8426,6448,10946,6816,8983,8047,5191
28,M,45,english,Firefox,43,Windows,14,8,16,10,4,3,9,11,13,18,7,17,15,12,5,20,6,19,1,2,unintentional,expressions,unintentional,expressions,intentional,intentional,expressions,expressions,unintentional,ambiguous,expressions,unintentional,unintentional,expressions,intentional,ambiguous,intentional,ambiguous,intentional,intentional,won the lottery,cried,snored in his sleep,jumped up and down,stole a pound of peaches,bought a round of drinks for everyone,yelled loudly,laughed,fell down,drove above the speed limit,smiled,stubbed his toe,yawned during a lecture,danced,invited Sue to have lunch,interrupted his mother,watered his new plants,ignored Greg's arguments,read a book,bought a drink,13,7,15,9,3,2,8,10,12,17,6,16,14,11,4,19,5,18,0,1,2,1,2,1,52,53,14,7,1,45,4,1,2,1,36,17,11,69,70,19,1,32,1,34,26,64,27,31,2,17,13,2,8,27,30,33,2,33,52,29,1,99,1,98,38,71,99,97,7,31,99,5,2,82,43,64,2,57,41,38,98,13,99,9,42,79,41,47,98,74,50,100,51,14,53,29,49,69,56,51,16032,11819,9122,16512,9270,10419,8333,68815,10526,9444,9150,17702,12794,8971,8886,8729,19772,8826,8553,8814
29,F,35,English,Chrome,47,Mac,13,1,18,2,8,4,12,6,7,5,3,11,15,20,19,17,9,10,14,16,unintentional,intentional,ambiguous,intentional,expressions,intentional,expressions,intentional,expressions,intentional,intentional,expressions,unintentional,ambiguous,ambiguous,unintentional,expressions,expressions,unintentional,unintentional,fell down,read a book,drove above the speed limit,bought a drink,cried,stole a pound of peaches,danced,watered his new plants,smiled,invited Sue to have lunch,bought a round of drinks for everyone,laughed,yawned during a lecture,interrupted his mother,ignored Greg's arguments,stubbed his toe,yelled loudly,jumped up and down,won the lottery,snored in his sleep,12,0,17,1,7,3,11,5,6,4,2,10,14,19,18,16,8,9,13,15,12,71,76,81,2,83,67,83,72,73,74,36,0,62,70,0,71,12,0,0,0,58,33,36,76,39,48,37,61,62,68,60,0,54,68,0,47,25,0,0,0,30,0,58,90,0,37,3,72,22,74,77,0,61,45,0,70,68,0,0,89,24,10,40,81,79,69,3,32,6,66,16,86,30,25,89,47,45,92,89,12782,28028,18331,9732,11863,8475,7564,13924,7596,9716,7436,6867,10397,7397,10550,8306,8885,7231,8432,9351
30,M,35,English,Firefox,43,Windows,18,5,17,1,9,3,4,11,8,15,6,20,12,13,2,14,16,19,10,7,ambiguous,intentional,unintentional,intentional,expressions,intentional,intentional,expressions,expressions,unintentional,intentional,ambiguous,expressions,unintentional,intentional,unintentional,unintentional,ambiguous,expressions,expressions,drove above the speed limit,invited Sue to have lunch,stubbed his toe,read a book,yelled loudly,bought a round of drinks for everyone,stole a pound of peaches,laughed,cried,yawned during a lecture,watered his new plants,interrupted his mother,danced,fell down,bought a drink,won the lottery,snored in his sleep,ignored Greg's arguments,jumped up and down,smiled,17,4,16,0,8,2,3,10,7,14,5,19,11,12,1,13,15,18,9,6,56,61,0,51,57,58,58,29,25,5,80,57,63,6,68,0,0,45,34,48,51,18,1,51,17,56,52,12,23,4,53,59,10,15,15,0,0,44,11,5,52,61,2,51,62,57,34,62,68,43,21,63,68,82,75,0,0,45,76,94,53,39,100,37,59,60,48,62,70,74,72,63,66,76,63,100,100,45,55,81,20298,12571,12617,9741,26322,11401,10737,8584,10234,14014,15037,7673,7021,8595,8286,10400,7640,10045,8140,8502
31,M,45,English,Chrome,47,Windows,9,6,13,20,15,16,1,17,8,12,18,5,7,2,3,4,19,14,11,10,expressions,intentional,unintentional,ambiguous,unintentional,unintentional,intentional,unintentional,expressions,expressions,ambiguous,intentional,expressions,intentional,intentional,intentional,ambiguous,unintentional,expressions,expressions,yelled loudly,watered his new plants,fell down,interrupted his mother,yawned during a lecture,snored in his sleep,read a book,stubbed his toe,cried,danced,drove above the speed limit,invited Sue to have lunch,smiled,bought a drink,bought a round of drinks for everyone,stole a pound of peaches,ignored Greg's arguments,won the lottery,laughed,jumped up and down,8,5,12,19,14,15,0,16,7,11,17,4,6,1,2,3,18,13,10,9,36,89,22,87,15,2,84,2,31,73,84,89,30,83,89,66,32,67,68,86,19,13,8,43,46,4,74,5,68,55,18,49,53,26,76,46,91,5,40,22,84,4,18,68,5,2,20,1,91,62,39,73,93,38,73,16,42,3,95,86,63,69,96,24,91,93,26,93,49,80,38,29,46,72,76,34,21,80,76,89,21635,16894,30898,9198,85281,10534,8135,27518,8555,10992,37185,7887,12591,7036,38201,6346,8265,9059,7156,8163
32,F,25,English,Chrome,47,Windows,13,7,12,16,17,10,8,18,14,3,15,9,20,19,5,6,1,4,11,2,unintentional,expressions,expressions,unintentional,unintentional,expressions,expressions,ambiguous,unintentional,intentional,unintentional,expressions,ambiguous,ambiguous,intentional,intentional,intentional,intentional,expressions,intentional,fell down,smiled,danced,snored in his sleep,stubbed his toe,jumped up and down,cried,drove above the speed limit,won the lottery,bought a round of drinks for everyone,yawned during a lecture,yelled loudly,interrupted his mother,ignored Greg's arguments,invited Sue to have lunch,watered his new plants,read a book,stole a pound of peaches,laughed,bought a drink,12,6,11,15,16,9,7,17,13,2,14,8,19,18,4,5,0,3,10,1,0,0,5,0,0,23,0,17,0,6,0,4,3,17,47,100,100,48,0,0,0,17,14,0,0,10,11,0,0,20,0,21,17,16,22,0,0,0,18,1,0,100,49,0,0,64,100,0,0,33,11,85,50,18,47,0,0,0,100,0,98,76,49,100,100,64,51,100,100,45,49,53,51,53,86,48,56,100,62,100,10462,11273,12617,24792,68621,15052,11422,6505,5184,9970,6296,10338,11305,10781,7620,9048,5746,6963,56156,28524
33,M,55,English,Chrome,47,Windows,19,10,16,7,6,11,15,5,17,4,9,8,1,3,20,13,2,14,12,18,ambiguous,expressions,unintentional,expressions,intentional,expressions,unintentional,intentional,unintentional,intentional,expressions,expressions,intentional,intentional,ambiguous,unintentional,intentional,unintentional,expressions,ambiguous,ignored Greg's arguments,jumped up and down,snored in his sleep,smiled,watered his new plants,laughed,yawned during a lecture,invited Sue to have lunch,stubbed his toe,stole a pound of peaches,yelled loudly,cried,read a book,bought a round of drinks for everyone,interrupted his mother,fell down,bought a drink,won the lottery,danced,drove above the speed limit,18,9,15,6,5,10,14,4,16,3,8,7,0,2,19,12,1,13,11,17,24,48,3,40,81,21,16,73,2,92,54,37,66,70,48,2,49,62,54,52,68,22,1,36,37,57,20,52,2,4,65,25,49,49,70,2,18,6,4,31,59,72,2,75,17,68,17,67,2,5,83,88,35,62,66,3,51,3,62,65,22,42,92,64,17,57,74,11,92,6,66,78,9,41,51,95,51,5,15,38,20987,13668,12928,11640,12270,14711,11616,12448,7743,10568,12623,12680,13263,14927,21063,8807,14463,9938,10085,15384
