freeResponses,Code,,,# 1 = emotion,# 2 = upstream cause of emotion,# 3 = non-emotion mental state (e.g. belief),"# 4 = physical state (e.g. tiredness, pain)","# 5 = enabling factor (e.g. was in dance class), or cause of non-emotion desire"
a puddle was in the way,,,,,,,,1
he was startled,,,,1,,,,
he was feeling good,,,,1,,,,
something was funny,,,,,,,,1
he found a joke funny,,,,,,1,,
someone told a funny joke,,,,,,1,,
he saw a stand up comedian show,,,,,,,,1
jake punched the wall and hurt himself,,,,,,,1,
he heard a joke,,,,,,,,1
he found something funny,,,,,,1,,
the joke was funny,,,,,,,,1
he heard a joke,,,,,,,,1
of a joke he heard,,,,,,,,1
the joke was funny,,,,,,,,1
he looked in a mirror,,,,,,,,1
he was amused,,,,1,,,,
he heard a great joke,,,,,,,,1
he was happy,,,,1,,,,
bill told a funny joke,,,,,,,,1
he was tickled,,,,,,,1,
fun,,,,,,1,,
the movie was funny,,,,,,,,1
the joke was funny,,,,,,,,1
he saw something funny,,,,,,,,1
the story was funny,,,,,,,,1
he was happy,,,,1,,,,
of a joke,,,,,,,,1
he thought the joke was funny,,,,,,1,,
his neighbor just got his car stuck in the culvert,,,,,,,,1
he had just heard a funny joke,,,,,,,,1
his daughter did something funny,,,,,,,,1
he made a joke,,,,,,,,1
of a tv show he was watching,,,,,,,,1
he thought it was funny,,,,,,1,,
sara fell,,,,,,,,1
the joke was funny,,,,,,,,1
something was hilarious,,,,,,,,1
he was about to kill tom,,,,,,1,,
he was happy,,,,1,,,,
lucys antics were hilarious,,,,,,,,1
because something was funny,,,,,,,,1
his friend told a funny joke,,,,,,,,1
he got the joke,,,,,,,,1
he was told a funny joke,,,,,,,,1
he read a funny joke,,,,,,,,1
she was watching a dog video,,,,,,,,1
his cat slid across the floor,,,,,,,,1
he was happy,,,,1,,,,
he was giggly,,,,,,,,1
the joke was funny,,,,,,,,1
it was funny,,,,,,,,1
he liked the joke,,,,,,1,,
he heard a funny joke,,,,,,,,1
he heard a funny joke,,,,,,,,1
god made him king of israel,,,,,,,,1
he heard a funny joke,,,,,,,,1
he heard a funny joke,,,,,,,,1
he heard a funny joke,,,,,,,,1
he was happy,,,,1,,,,
he was amused,,,,1,,,,
something was funny,,,,,,,,1
he liked the joke,,,,,,1,,
it was the funniest joke he ever heard,,,,,,1,,
the joke was funny,,,,,,,,1
of the funny joke,,,,,,,,1
his daughter made a funny face,,,,,,,,1
he was watching 40 year old virgin,,,,,,,,1
the joke was funny,,,,,,,,1
because he was uncomfortable,,,,,,1,,
he heard a funny joke,,,,,,,,1
he heard a joke,,,,,,,,1
he was happy,,,,1,,,,
the movie was funny,,,,,,,,1
he saw a funny video online,,,,,,,,1
he was happy,,,,1,,,,
it was funny,,,,,,,,1
he heard a good joke,,,,,,,,1
his favorite comedian told a joke,,,,,,,,1
he hadnt heard a joke that good in a long time,,,,,,1,,
he found to joke to be hilarious,,,,,,1,,
the joke was funny,,,,,,,,1
he heard a fantastic joke on tv,,,,,,,,1
his good buddy just told him a joke,,,,,,,,1
he was nervous,,,,1,,,,
he saw a funny picture,,,,,,,,1
he heard something funny,,,,,,,,1
he was happy,,,,1,,,,
the movie was funny,,,,,,,,1
he just heard a funny joke,,,,,,,,1
the joke was funny,,,,,,,,1
the joke was funny,,,,,,,,1
his life is a joke,,,,,,,,1
the joke was funny,,,,,,,,1
he heard something funny,,,,,,,,1
it was funny,,,,,,,,1
his best friend is hilarious,,,,,,,,1
his kids are funny,,,,,,,,1
he thought chris rock was very funny,,,,,,1,,
he was a sadist and saw what happened to jacob,,,,,,,,1
he found the joke to be funny,,,,,,1,,
the movie was funny,,,,,,,,1
the joke was funny,,,,,,,,1
he was upset,,,,1,,,,
he was scared,,,,1,,,,
he saw a spider,,,,,1,,,
he was watching football,,,,,1,,,
he saw a spooky ghost,,,,,1,,,
like me he is terrified easily,,,,,,,,1
he got scared,,,,1,,,,
he was terrifed,,,,1,,,,
he was scared,,,,1,,,,
he was scared,,,,1,,,,
he saw a angry dog,,,,,,,,1
he was afraid,,,,1,,,,
he saw michael jackson,,,,,,,,1
he was shocked,,,,1,,,,
he couldnt get his way,,,,,1,,,
he was scared,,,,1,,,,
he was mad,,,,1,,,,
he was scared,,,,1,,,,
mad,,,,1,,,,
the movie scared him,,,,,1,,,
he saw a rat,,,,,,,,1
he was frightened,,,,1,,,,
he was startled,,,,1,,,,
she was mad,,,,1,,,,
he was angry,,,,1,,,,
he was scared,,,,1,,,,
he saw a spider,,,,,,,,1
he saw something scary on the tv screen,,,,,1,,,
he got scared,,,,1,,,,
he was startled,,,,1,,,,
he was mowing the lawn,,,,,,,,1
he was mad,,,,1,,,,
he saw a monster,,,,,,,,1
he was excited about the football game,,,,1,,,,
he was very frustrated,,,,1,,,,
there was a maniac in his house,,,,,,,,1
he was surprised,,,,1,,,,
the tsunami engulfed the beach and threatened his hotel,,,,,,,,1
he was mad,,,,1,,,,
someone was in danger,,,,,,1,,
he was angry,,,,1,,,,
he was frightened,,,,1,,,,
a spider ran up his arm,,,,,1,,,
he cut his finger with a sharp knife,,,,,,,1,
he burned himself,,,,,,,1,
he was afraid,,,,1,,,,
he was agitated,,,,1,,,,
he was scared,,,,1,,,,
he was scared,,,,1,,,,
he was very mad,,,,1,,,,
he broke his leg,,,,,,,1,
a large spider got in his house,,,,,,,,1
his favorite band was on stage,,,,,,,,1
he wanted to be heard,,,,,,1,,
he was scared,,,,1,,,,
he was afraid,,,,1,,,,
he was scared,,,,1,,,,
he felt he wasnt heard,,,,,,1,,
he was scared,,,,1,,,,
he was scared,,,,1,,,,
he hit his thumb with a hammer,,,,,,,1,
he was scared,,,,1,,,,
she saw a spider,,,,,,,,1
the car hit the lady,,,,,,,,1
he saw a snake he is afraid of,,,,,1,,,
he was hit with a bowling ball,,,,,,,1,
he was scared,,,,1,,,,
he got scared by a noise,,,,,1,,,
he got scared,,,,1,,,,
he wad scared,,,,1,,,,
he was frustrated with the situation,,,,1,,,,
he was scared by his sister,,,,1,,,,
he was mad,,,,1,,,,
he was mad,,,,1,,,,
she was scared,,,,1,,,,
he saw a spider,,,,,,,,1
a spider crawled onto his shoulder,,,,,,,,1
he was watching a scary movie,,,,,,,,1
the masked man scared him,,,,,1,,,
he was having a horrible nightmare,,,,,,,,1
he was scared,,,,1,,,,
he got scared,,,,1,,,,
he saw a spider,,,,,,,,1
he lost his wife,,,,,1,,,
he was scared,,,,1,,,,
he saw a snake,,,,,,,,1
he was horrified,,,,1,,,,
the pain was unbearable,,,,,,,1,
he was beat in a race,,,,,1,,,
he hurt himself,,,,,,,1,
he was frustrated,,,,1,,,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
his brother scared him,,,,,1,,,
his wife was about to back into the garage,,,,,,,,1
he was having a nervous breakdown,,,,,,,,1
his finger was caught in the saw,,,,,,,1,
he was terrified,,,,1,,,,
someone was attacking him,,,,,,,,1
he was frustrated,,,,1,,,,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he had the flu,,,,,,,1,
he was tired,,,,,,,1,
being a keystone cop is tiring work,,,,,,,1,
she was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he had a long day,,,,,,,,1
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was exhausted,,,,,,,1,
he was tired,,,,,,,1,
he was sleepy,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was sleepy,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
it was four in the morning,,,,,,,,1
it was the weekend and he didnt have to get up early in the morning,,,,,,1,,
he was really tired,,,,,,,1,
he was tired,,,,,,,1,
he drank too much,,,,,,,1,
he was sleepy,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was exhausted,,,,,,,1,
he stayed up all night,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
because he was tired,,,,,,,1,
he had to be up for work in the morning,,,,,,1,,
he was tired,,,,,,,1,
because he was tired,,,,,,,1,
he was tired and it was bedtime,,,,,,,1,
he was tired from working all day,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
it was late,,,,,,,,1
in was night,,,,,,,,1
he was very tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
had a long day,,,,,,,,1
he felt tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was exhausted,,,,,,,1,
the cough medicine had codeine in it,,,,,,,,1
he was worn out from a hard did,,,,,,,1,
he was tired,,,,,,,1,
hed had a long day,,,,,,,1,
he was tired from working,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he didnt sleep enough last night,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he had stayed up late the night before,,,,,,,1,
he was exhausted,,,,,,,1,
he felt so tired from work,,,,,,,1,
he was tired from work,,,,,,,1,
he had worked all weekend and was exhausted,,,,,,,1,
hed been up for 48 hours,,,,,,,1,
it was night,,,,,,,,1
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was sleepy,,,,,,,1,
he was very tired,,,,,,,1,
it was late at night,,,,,,,1,
he was exhausted,,,,,,,1,
his eyes were tired,,,,,,,1,
there are no tears just dreams,,,,,,,,1
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he was tired,,,,,,,1,
he worked a 10 hour shift,,,,,,,1,
he was exhausted after working out,,,,,,,1,
he had stayed up studying all night,,,,,,,1,
he did do all he could do and was exhausted,,,,,,,1,
he was tired,,,,,,,1,
he needed to recharge after a long day of work,,,,,,1,,
he was tired,,,,,,,1,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he stubbed his toe,,,,,,,1,
he spilled his beer,,,,,,,,1
he broke his finger,,,,,,,1,
he stubbed his toe,,,,,,,1,
the driver made him mad,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he had enough,,,,,,1,,
he was pissed,,,,1,,,,
he hit his finger,,,,,,,1,
he was upset,,,,1,,,,
he dropped something on his toe,,,,,,,1,
he was angry,,,,1,,,,
he struck his thumb with a hammer,,,,,,,1,
he hurt himself,,,,,,,1,
angry,,,,1,,,,
his hit his toe,,,,,,,1,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he hit his thumb with a hammer,,,,,,,1,
he hurt his thumb while doing housework,,,,,,,1,
he slammed his finger in a door,,,,,,,1,
he was mad,,,,1,,,,
he hurt himself,,,,,,,1,
he was mad,,,,1,,,,
he hit himself,,,,,,,1,
he was angry,,,,1,,,,
he was angry,,,,1,,,,
he got a speeding ticket,,,,,1,,,
he hurt himself,,,,,,,1,
he dropped his wrench into the engine compartment,,,,,,,,1
because he was mad,,,,1,,,,
he lost his temper,,,,1,,,,
he was frustrated,,,,1,,,,
his football team lost,,,,,1,,,
he cut himself,,,,,,,1,
he hit his big toe on the leg of the table,,,,,,,1,
he stubbed his toe,,,,,,,1,
he was angry,,,,1,,,,
he got angry,,,,1,,,,
he was angry,,,,1,,,,
he was upset,,,,1,,,,
he was pissed,,,,1,,,,
he stubbed his toe,,,,,,,1,
he stubbed his toe,,,,,,,1,
he has low morals,,,,,,,,1
he slammed his hand in the door,,,,,,,1,
he was frustrated,,,,1,,,,
he was mad,,,,1,,,,
he was mad,,,,1,,,,
he was frustrated,,,,1,,,,
he was mad,,,,1,,,,
he dropped something on his toe,,,,,,,1,
he was extremely frustratedn,,,,1,,,,
he was angry,,,,1,,,,
he was furious and outraged,,,,1,,,,
he hit his thumb with the hammer,,,,,,,1,
his son broke a glass,,,,,,,,1
he stubbed his toe,,,,,,,1,
he was upset,,,,1,,,,
he hit himself in the foot,,,,,,,1,
he fell,,,,,,,1,
he hurt himself,,,,,,,1,
he stubbed his toe,,,,,,,1,
he was angry,,,,1,,,,
he was pissed off,,,,1,,,,
he was mad,,,,1,,,,
he was upset,,,,1,,,,
he stubbed his toe,,,,,,,1,
he slammed his hand in the car door,,,,,,,1,
he was so mad at what happened,,,,1,,,,
he was upset at the loss,,,,1,,,,
he was stung by a wasp,,,,,,,,1
he just stubbed his toe,,,,,,,1,
that is how he talks,,,,,,,,1
his accidentally cut his thumb,,,,,,,1,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he felt defeated,,,,,,1,,
he wanted to express himself,,,,,,1,,
he hit his thumb with a hammer,,,,,,,1,
he felt ashamed,,,,1,,,,
he got mad,,,,1,,,,
he was angry,,,,1,,,,
he was mad,,,,1,,,,
he was angry,,,,1,,,,
he hit his thumb on the door,,,,,,,1,
he hammered his nail,,,,,,,1,
he was angry,,,,1,,,,
he was taking a very annoying survey editors note referenced item is another survey,,,,,1,,,
he hit his finger with a hammer,,,,,,,1,
a driver cut him off,,,,,1,,,
he was angry,,,,1,,,,
he wanted to let go,,,,,,1,,
he was happy,,,,1,,,,
he loved the song playing,,,,,1,,,
he received a bonus at work,,,,,1,,,
he loves house music,,,,,,1,,
gloria came into his life,,,,,,,,1
he felt good,,,,1,,,,
he had to,,,,,,1,,
he liked the song,,,,,,1,,
he was drunk,,,,,,,1,
he was in the mood,,,,1,,,,
he did well on his report card,,,,,1,,,
men at work came on the radio,,,,,,,,1
he was happy,,,,1,,,,
he was feeling exuberant,,,,1,,,,
he was excited,,,,1,,,,
michelle looked so pretty and soft music was playing,,,,,,,,1
his favorite song was on,,,,,,,,1
fun,,,,,,1,,
he liked the music,,,,,,1,,
he was happy,,,,1,,,,
it was his wedding,,,,,,,,1
he loved the song,,,,,,1,,
he was excited,,,,1,,,,
he was happy,,,,1,,,,
he was drunk,,,,,,,1,
this was his favorite song,,,,,,,,1
he was happy,,,,1,,,,
he was at a nightclub,,,,,,,,1
he was happy,,,,1,,,,
he was jovial,,,,1,,,,
he was e xcited,,,,1,,,,
he loved that song,,,,,,1,,
he was happy,,,,1,,,,
he was in a good mood,,,,1,,,,
the music was rocking,,,,,,,,1
he was happy,,,,1,,,,
he was celebrating his friends wedding,,,,,,,,1
because he was happy,,,,1,,,,
he was at a wedding,,,,,,,,1
his girl made him,,,,,,,,1
he was happy,,,,1,,,,
he was really happy,,,,1,,,,
he was at prom,,,,,,,,1
he just received a promotion,,,,,1,,,
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he loved to dance,,,,,,1,,
he was happy,,,,1,,,,
he enjoyed dancing,,,,,,1,,
he won a contest,,,,,1,,,
he just won the lottery,,,,,1,,,
he was in a contest,,,,,,,,1
he was feeling good,,,,1,,,,
he was happy,,,,1,,,,
he was up in da club,,,,,,,,1
he was bored,,,,,,1,,
he felt jovial,,,,1,,,,
he was happy,,,,1,,,,
he liked the song,,,,,,1,,
his favorite song was playing,,,,,,,,1
he went on a date,,,,,,,,1
he was happy,,,,1,,,,
it finally started raining,,,,,,,,1
he is celebrating an important milestone,,,,,,,,1
he was happy,,,,1,,,,
he was happy,,,,1,,,,
he was at a disco party,,,,,,,,1
he felt the groove,,,,,,,,1
he was excited,,,,1,,,,
he got a promotion,,,,,1,,,
