workerid,gender,nativeLanguage,exampleCounterfactual,emotionID.1,emotionID.2,emotionID.3,emotionID.4,emotionID.5,emotion.1,emotion.2,emotion.3,emotion.4,emotion.5,order.1,order.2,order.3,order.4,order.5,freeResponseHappy.1,freeResponseHappy.2,freeResponseHappy.3,freeResponseHappy.4,freeResponseHappy.5,freeResponseCalm.1,freeResponseCalm.2,freeResponseCalm.3,freeResponseCalm.4,freeResponseCalm.5,freeResponseSad.1,freeResponseSad.2,freeResponseSad.3,freeResponseSad.4,freeResponseSad.5,freeResponseAngry.1,freeResponseAngry.2,freeResponseAngry.3,freeResponseAngry.4,freeResponseAngry.5,freeResponseSurprised.1,freeResponseSurprised.2,freeResponseSurprised.3,freeResponseSurprised.4,freeResponseSurprised.5,counterfactualHappy.1,counterfactualHappy.2,counterfactualHappy.3,counterfactualHappy.4,counterfactualHappy.5,counterfactualCalm.1,counterfactualCalm.2,counterfactualCalm.3,counterfactualCalm.4,counterfactualCalm.5,counterfactualSad.1,counterfactualSad.2,counterfactualSad.3,counterfactualSad.4,counterfactualSad.5,counterfactualAngry.1,counterfactualAngry.2,counterfactualAngry.3,counterfactualAngry.4,counterfactualAngry.5,counterfactualSurprised.1,counterfactualSurprised.2,counterfactualSurprised.3,counterfactualSurprised.4,counterfactualSurprised.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10
11,M,English,1,5,4,2,1,3,surprised,angry,calm,happy,sad,4,3,1,0,2,smiled,laughed,greeted random people,danced,was generous,sat still,yawned,thought carefully,relaxed,napped,cried,didn't get out of bed,curled up in a ball,didn't want to do anything,sat alone with the lights off,growled,scowled,stomped,slammed the door,cursed,jumped,yelled,shouted,gasped,squealed,2,2,2,2,3,4,3,4,1,2,1,3,1,3,1,1,2,2,2,2,1,2,1,1,1,54610,24087,32469,39902,49437,27539,17007,23020,27322,27464
12,F,English,1,2,5,4,1,3,calm,surprised,angry,happy,sad,1,4,3,0,2,smiled,laughed,stood,leaped,skipped,relaxed,slept,stretched,sighed,smiled,cried,left,overate,wept,called,shook,strained,yelled,stomped,reacted,jumped,yelled,screamed,startled,laughed,4,2,6,2,1,1,5,6,5,3,1,2,1,1,4,1,1,2,1,2,2,1,1,1,3,22586,30477,56604,35391,50012,19147,21497,30261,16413,16547
13,M,Egnlish,1,4,1,5,3,2,angry,happy,surprised,sad,calm,3,0,4,2,1,jumped,smiled,squealed,ran around,partied,relaxed,smiled,lied down in bed,built a hammock,was happy,cried,frowned,drank a beer,watched a movie,tried telling jokes,farted,thew a brick,stomped the ground,punched the wall,turned red,jumped,fell,screamed,ran away,flinched,3,2,2,2,1,2,2,4,4,4,1,3,4,4,3,6,1,1,1,2,1,1,1,1,1,27976,28786,34195,31952,24984,22488,25188,12468,14501,31270
14,F,English,2,3,1,4,5,2,sad,happy,angry,surprised,calm,2,0,3,4,1,jumped for joy,cried tears of joy,called his mom,celebrated tonight,gave $1 to a homeless man,sat quietly,was not surprised,continued reading,did not bat an eyelash,was expecting that outcome,cried all day,didn't go to work today,stayed in his room all day,did not get out of bed today,lashed out at a friend today,punched the wall,hit his significant other,yelled,screamed loudly,was mean to his sister,gasped,laughed nervously,screamed,was happy,was upset,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34283,23946,32870,22585,88411,11332,15909,6883,7664,6670
15,M,English ,1,2,4,1,5,3,calm,angry,happy,surprised,sad,1,3,0,4,2,was smiling,was beaming,was pleasant,was awake,was vibrant,was happy,was slow,was tired ,was sleepy,was sad,was down,was depressed,was cold,was distant,was unhappy,was mean,was scary,was red,was sweaty,was hot,was shocked,was taken aback,was caught off guard,was happy,was thrilled,5,5,5,5,5,5,3,4,5,2,1,1,1,3,1,1,2,1,4,3,2,2,2,2,2,42070,17439,18300,30066,17102,25491,26283,19651,10902,15956
16,M,english,3,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,smiled,cried,laughed,relaxed,clapped,didn't scream,didn't panic,could relax,acted with tact,succeeded,cried,frowned,was distant,didn't engage,shutdown,yelled,turned red,stormed off,hit me,quit,screamed,jumped,didn't know what to do,laughed,gasped,1,7,1,2,4,7,6,6,3,6,1,1,3,2,1,1,1,1,1,3,2,2,5,6,1,60096,37259,31195,23516,32177,42446,37590,34578,28193,19488
17,F,english,3,5,3,1,2,4,surprised,sad,happy,calm,angry,4,2,0,1,3,smiled,laughed,cheered,clapped,danced,sat neutral,slept,dozed,rested,watched silently,cried,frowned,sighed,would not join us,scowled,yelled,screamed,frowned,scowled,cried,jumped,got startled,yelled,feinted,laughed,7,2,4,6,5,7,7,4,6,5,5,5,5,5,4,4,4,5,5,5,6,5,6,4,5,61544,46497,16433,46219,14778,27392,28253,23817,24286,20911
18,F,English,5,3,5,4,2,1,sad,surprised,angry,calm,happy,2,4,3,1,0,jumped for joy,smiled ,cheered,clapped,laughed,fell asleep,relaxed on the couch,slept soundly,took deep even breaths,felt very relaxed,started to cry,did not go to the party,stayed in his house,stayed in bed all day,refused to smile,yelled,made his face turn red,threw the remote control,stomped up the stairs,took three deep breaths,jumped backwards,did not know what to do next,ran out the back door,screamed,laughed nervously,1,4,2,5,4,7,6,5,6,1,3,6,6,4,2,2,2,1,2,4,5,5,3,4,4,43338,81007,39073,39078,43464,39928,24647,19671,30577,20394
19,F,English,1,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,smiled,laughed,sighed,cried,talked a lot,laughed,was happy,seems nice,is not liked,may have to leave,cried,looked away,clapped his hands,ran away,stayed at home,yelled,screamed,cried,laughed,felt confused,coughed loudly,screamed,fell down,slapped his foot,seemed angry,6,6,4,1,4,6,4,2,3,2,2,1,4,1,3,5,6,3,6,4,1,1,1,1,2,42157,41736,33225,50879,19020,45429,54463,60100,43437,41484
20,M,English,1,3,5,4,2,1,sad,surprised,angry,calm,happy,2,4,3,1,0,drank alcohol,bought a new prosthetic arm,went fishing,ate an orange,went to the game,left his door unlocked,stayed on the couch,listened to Beethoven,ran a few laps,ate a steak,ate junk food,stayed home in bed,avoided going out,cried,stopped eating,threw his glass eyeball,ran over a deer,quit his job,broke things,drank alcohol,gasped,jumped,had a heart attack,lost his false teeth,popped out his glass eyeball,4,3,3,4,3,2,2,4,4,5,4,2,2,1,2,2,2,2,2,4,2,2,2,2,2,60889,58615,49992,42360,52857,21584,22861,13984,19101,15660
21,M,English,1,3,4,2,5,1,sad,angry,calm,surprised,happy,2,3,1,4,0,celebrated,was nice to his friends,donated to charity,threw a party,clapped his hands,smiled,felt free of worry,relaxed,stretched out,was polite,wept,yelled at his friends,listened to a depressing song,pouted,avoided his family,yelled at his friends,broke a glass,avoided his brother,clenched his teeth,punched his friend,fell over,jumped back,had his mouth agape,was wide eyed,was speechless,4,5,3,4,4,5,2,2,6,5,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,33186,29865,54796,105287,23671,20687,14779,24005,17237,22541
22,M,English,1,4,3,1,5,2,angry,sad,happy,surprised,calm,3,2,0,4,1,felt good about it,smiled all day,skipped classes for the day,gave money to the bum ,went on a spirited drive,had a high amount of accuracy ,handled the situation well,took leadership,had a bath,went for a spirited drive ,cried to him self,watched sad movies,ate junk food,went on a run,slept all day ,was upset,walked out,shouted ,sulked ,cried,jumped in the air,felt embarrassed ,raised his eyebrows,was worried,was excited ,3,3,5,3,5,2,5,5,4,6,1,3,4,5,3,4,1,1,3,3,1,2,1,2,4,48944,66394,35617,50658,58983,31716,20378,25784,18572,18458
23,M,English,3,2,3,4,5,1,calm,sad,angry,surprised,happy,1,2,3,4,0,smiled as big as the sun,danced around the room,ate so much pie he was sick,hoarded all his money ,went out to celebrate,laughed,Sighed,read,sang,fainted,cried loudly,sobbed profusely,teared up,hid his head,went to sleep,had steam coming from his ears,picked a fight,yelled at the top of his lungs,ran away,beat up his brother,peed his pants,fainted on the floor,ran away scared,jumped out of his skin,feel off his chair,5,4,5,4,5,4,2,6,4,1,1,1,1,3,7,1,2,3,2,1,6,2,1,1,1,43761,61893,47383,46245,88164,21578,14563,15094,15509,13508
24,M,English,1,2,4,5,3,1,calm,angry,surprised,sad,happy,1,3,4,2,0,laughed,bout drinks,smiled,danced,told jokes,had a low heart rate,was the natural choice to lead,had no problem waiting,fell asleep,from State Farm was good at his job,cried,wept,went home,complained,did not laugh,screamed at him him,went home,quit the game,punched a wall,was sent home,fainted,screamed,wet himself,smiled big,giggled,3,5,4,4,5,1,4,1,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,133735,75998,59937,61647,40321,34373,28456,22491,16409,27935
25,F,English,3,2,5,1,3,4,calm,surprised,happy,sad,angry,1,4,0,2,3,was glad,was surprised,was excited,was crying,was anxious,was content,was relieved,was glad,was happy,was tired,was sorry,was crying,was upset,was stressed,was depressed,was anxious,was mean,was frustrated,was lashing out,was upset,was thrilled,was happy,was scared,was frightened,was elated,4,3,5,1,3,5,3,4,5,6,3,1,3,5,5,4,2,5,1,2,4,4,2,2,4,53622,30570,95666,34015,50225,42844,33215,56642,38960,29687
26,F,English,1,3,4,2,5,1,sad,angry,calm,surprised,happy,2,3,1,4,0,jumped up and down,smiled,laughed,cried,sang a song,felt relaxed,sat down,felt at peace,listened to music,slept,cried,yelled,frowned,wept,screamed,yelled,screamed,punched a wall,cried,drank,yelled,jumped,screamed,ran away,fell down,2,3,2,4,4,2,5,3,5,4,1,4,1,1,4,1,2,1,3,4,4,3,4,3,3,24226,33061,26686,20911,24614,27588,21120,21028,29748,20603
27,F,English,6,4,1,2,5,3,angry,happy,calm,surprised,sad,3,0,1,4,2,cried out loud,smiled,laughed,frowned,jumped up and down,played a game,watched tv,talked to a stranger,drove,played ball,cried,smiled,laughed,slept,clenched his fists,cried,threw something at a wall,swore out loud,smiled broadly,clenched his fists,cried,screamed,laughed,swore,clenched his fists,4,6,6,4,4,6,6,6,6,6,4,6,3,7,3,4,2,6,6,4,6,2,6,6,4,42638,29982,50082,17911,16004,22214,23942,9743,13088,14175
28,M,English,2,4,1,2,5,3,angry,happy,calm,surprised,sad,3,0,1,4,2,went to eat,made some music,got drunk,laughed,bought some clothes,meditated ,spoke softly,thought logically,made sound decisions,played guitar,cried,sulked in his room,cut himself,slept all d ay,ate all of the food,punched the wall ,screamed ,smoked a cigarette,went to the gym,argued with his significant ,jumped,screamed,peed his pants,cried,threw a fit,4,3,1,3,2,4,4,4,2,4,1,1,1,1,1,1,3,7,7,1,1,1,1,1,1,38377,32079,186821,97977,37470,18395,119801,31840,14341,16609
29,F,english,3,3,1,5,2,4,sad,happy,surprised,calm,angry,2,0,4,1,3,smiles,laughed,gave to charity,jumped in the air,threw his hands in the air,went to sleep,meditated,smiled,sang,sighed,cried,went to sleep,did not eat,would not drink,killed himself,punched a wall,kicked someone,screamed,threatened his neighbors,ran someone off the road,jumped,'s teeth chattered,turned red in the face,yelled,laughed,4,2,4,4,5,4,6,3,5,3,4,4,4,3,4,3,1,4,1,1,4,5,3,4,3,23212,24539,27881,15670,21272,21390,14108,13416,12441,27323
30,F,English,1,3,1,4,5,2,sad,happy,angry,surprised,calm,2,0,3,4,1,is smiling widely,jumped up and down,is celebrating,kissed his mom,greeted everyone,just sat on the corner,talked slowly,closed his eyes,is quiet,stood up and walked away,cried,did not go out of his room,is not talking to anyone,is hiding in his room,refused to come to the party,was frowning,refused to talk to anyone,shouted,slammed the door,cursed,jumped up,ran out,laughed,opened his eyes wide,smiled wildly,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61834,45784,123004,74713,43121,17595,14334,9926,8102,11702
31,M,English,2,4,5,1,2,3,angry,surprised,happy,calm,sad,3,4,0,1,2,smiled,whistled to himself,felt good,walked more quickly,greeted everyone he came across,rested peacefully,closed his eyes,leaned back in his chair,listened carefully,felt good,cried,moped around,stayed in bed,sat down in the shower,kept to himself,stormed off,punched a wall,yelled loudly,cried,started a fight,startled,smiled,jumped back,was speechless,let out a yell,5,3,1,6,3,3,5,5,6,5,3,2,2,1,4,2,2,4,6,1,2,7,3,6,6,50488,53419,46661,49537,32631,49106,41125,44217,37295,31214
32,M,English,4,4,3,5,2,1,angry,sad,surprised,calm,happy,3,2,4,1,0,sang,hopped,played basketball,wrote a paragraph,jogged,sat down,drank some water,stopped talking,read a book,meditated,cut himself,cried,hid himself,stopped hanging out,stopped playing sports,punched Jerome in his face,hung himself,slit his wrist,castrated himself,mutilated his family,jumped in joy,blushed ,lied,smiled non stop,become hysterical,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,78596,49375,87326,52271,50182,23188,26455,22596,13022,14800
33,F,English,3,4,5,1,2,3,angry,surprised,happy,calm,sad,3,4,0,1,2,smiled,laughed,hugged his mother,jumped up and down,threw his fist into the air,took a deep breath,fell asleep,stretched his arms,looked around at his surroundings,sat back,cried,put his head into his hands,went to his room to be alone,thought about hurting himself,sought comfort from his boyfriend,hit the wall,screamed really loud,wouldn't speak to anyone,slapped his girlfriend,was trembling ,jumped backward,yelled,gasped outloud,eyes became huge and his mouth fell open,smiled really big,5,5,7,6,6,6,6,6,7,6,1,6,6,1,2,2,5,6,1,6,2,6,6,2,6,48057,74283,30847,41234,68432,97419,35366,46167,18170,68014
34,M,english,1,2,5,4,1,3,calm,surprised,angry,happy,sad,1,4,3,0,2,laughed out loud,spent money,quit work,went on vacation,helped her,spoke up,went to sleep,won the race,sang,helped them,cried out,cried softly,spoke quietly,was quiet,was small,shut up,yelled back,quit working,helped out,went home,shouted out,ran away,yelled back,screamed loudly,laughed out loud,1,4,1,6,4,4,1,4,2,3,1,1,3,2,4,1,1,1,5,1,1,5,1,1,1,66407,76462,60559,66520,63942,43141,41259,35838,29200,45696
35,M,English,1,3,5,2,1,4,sad,surprised,calm,happy,angry,2,4,1,0,3,smiled,laughed,snicked,clapped his hands,waved to us,spoke slowely,whispered,sat down ,took a deep breath,looked up at the sky,cried,sighed,slept,pouted,frowned,frowned,snarled,yelled,raised his voice,panicked ,gasped,laughed,froze,smiled,cackled ,4,3,2,3,3,6,4,3,3,4,1,4,5,5,1,1,1,1,1,4,2,3,3,2,4,19138,19953,34057,21897,86961,20465,11308,14013,10792,11310
36,F,English,1,4,5,1,2,3,angry,surprised,happy,calm,sad,3,4,0,1,2,sang,danced,clapped his hands,jumped up and down,laughed hysterically ,feel asleep,sighed,sipped tea,rubbed his feet,read a book,had tears running down his face,had his mouth turned upside down,pouted,was distant,didn't speak,punched his fist through the wall,slammed down the phone receiver,yelled at his wife,threw papers onto the floor,slammed the door,fainted,cried,laughed,smiled,jumped ,3,1,2,1,2,6,6,4,5,6,1,1,1,2,3,1,1,1,1,1,1,1,4,5,1,82726,49487,101991,65005,94547,37829,38006,26060,23621,21810
37,M,English,3,5,4,2,1,3,surprised,angry,calm,happy,sad,4,3,1,0,2,smiled,grinned,laughed ,chuckled,blushed,sighed,felt relaxed,sat down to relax,closed his eyes,fell asleep,frowned,cried,looked away,hung his head,left the room,gritted his teeth,furrowed his brow,crossed his arms,stomped his foot,left the room,gasped,jumped,blinked,'s eyes widened,clenched his shirt,5,5,5,5,5,6,4,4,7,6,2,3,6,4,6,2,2,6,3,6,5,5,7,4,3,53779,21543,53297,17311,22778,47439,18543,34876,20511,19869
38,F,English,1,4,5,1,2,3,angry,surprised,happy,calm,sad,3,4,0,1,2,smiled,gave her his last dollar,took a walk outside,threw his hands in the air,jumped up and down,sat down ,walked away,didn't reply,stared blankly into space,walked slowly\nwalked slowly,cried,went to bed,started drinking alcohol,hung his head,didn't speak,threw his hat,killed a man,stabbed his friend,yelled at his sister,punched the wall,cried out ,SCREAMED,yelled at his mother,got emotional,hugged her,6,4,5,3,2,6,6,5,6,5,1,5,4,3,4,1,1,1,2,1,3,4,4,4,4,47178,54789,87887,47353,42773,27891,36411,27471,24966,29688
39,M,English,2,3,1,5,2,4,sad,happy,surprised,calm,angry,2,0,4,1,3,smiled,laughed,danced,jumped,screamed,rested,breathed,meditated,smiled,relaxed,cried,left,slept,screamed,grieved,yelled,scowled,stomped,swung,screamed,screamed,jumped,smiled,cried,laughed,3,5,3,3,5,6,7,5,6,6,2,3,5,2,2,4,3,3,2,3,2,4,6,3,5,46336,32622,123656,31071,34335,43180,31088,27838,25638,32053
40,M,English,2,2,3,4,5,1,calm,sad,angry,surprised,happy,1,2,3,4,0,cried,jumped for joy,laughed,smiled,ran for joy,ate some candy,got a job,fell down the well,grabbed the tickets,talked to me,cried alot,ate lots of icecream,gave me a ticket,fell down the well,smelled like cookies,threw a fit,punched a wall,tore his shirt,grabbed a puppy,kicked a bucket,got the hiccups,laughed out loud,called his mom,cried ,peed his pants,4,4,4,4,4,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,51758,184424,159478,105214,103858,25690,15739,11229,15085,13083
41,F,English,1,5,3,4,2,1,surprised,sad,angry,calm,happy,4,2,3,1,0,shot off fireworks,danced a silly jig,did some coke,gave a homeless guy a quarter,didn't abuse his wife today,closed his eyes,stopped to smell the roses,notices a $20 bill on the ground in a crowd,reached nirvana and spiritual enlightenment,At a Napoleon,cried,killed himself,drank a bottle of vodka,went to bed,put off grocery shopping,punched that grandmother in the face,stammered,was exhausted,felt out of control,shouted profanity,jumped,fainted,shouted profanity,cried,smiled,7,1,7,1,1,5,3,1,1,5,1,1,2,2,1,7,3,3,2,2,1,1,4,2,4,54085,56083,43862,62349,61398,29422,24398,29441,31935,33749
42,F,English,1,3,1,5,2,4,sad,happy,surprised,calm,angry,2,0,4,1,3,sang,started to dance,threw a party,clapped his hands,smiled,hummed,smiled,comforted the scared people,walked away,played music,cried,frowned,hid from everyone,wouldn't talk,ran away,shouted,hit someone,stormed off,threw a temper tantrum,scared the girl,yelled,jumped,looked shocked,ran away,fell backward,6,4,2,1,7,7,7,4,7,7,1,4,4,4,3,1,1,1,1,4,1,1,1,1,1,67308,240557,46974,81759,33991,35413,39596,14433,71384,19695
43,M,english,2,2,3,5,1,4,calm,sad,surprised,happy,angry,1,2,4,0,3,cried,sang,skipped,smiled,yelled,let it slide,threw a strike,made the penalty,had low blood pressure,was happy,cried,couldnt think straight,committed suicide,left his wife,lost his job,fought,left,snarled,yelled,kicked out,jumped,yelped,screamed,yipped,fliched,2,4,2,3,3,3,2,3,5,4,2,2,1,2,2,1,3,1,3,1,2,2,1,2,1,92871,41577,28615,15278,83922,30265,74942,17059,56368,17523
44,F,english,1,4,3,1,5,2,angry,sad,happy,surprised,calm,3,2,0,4,1,smiled,jumped,grinned,laughed,came,sat down,sang,smiled,sighed,slept,cried,moped,left,wept,sighed,yelled,punched the wall,gritted his teeth,left,went home,yelled,smiled,grinned,blushed,jumped for joy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41087,24544,30858,40363,26392,19068,15163,14090,12316,12643
45,M,English,1,3,1,4,5,2,sad,happy,angry,surprised,calm,2,0,3,4,1,gave to charity,when out on a date,went for a jog,made some new friends,bought himself a gift,escape alive,he won the game,ace the test,survived an accident,was always good at his work,left,is crying,is disappointed,killed himself,ran away,insulted his friend,attacked a the woman,screaming out loud,broke a window,broke the speed limit,screamed,fainted,punch someone,had a heart attack,was happy,4,6,5,6,3,2,3,2,4,4,2,1,2,1,1,3,1,4,2,5,2,1,1,1,3,160966,77480,86401,38722,128534,51014,34850,23596,24672,22362
46,F,English,1,3,5,2,1,4,sad,surprised,calm,happy,angry,2,4,1,0,3,danced,cried,jumped with excitment,smiled,laughed,took a deep breath,took a sip of his tea,layed down slowly,talked in a soothing voice,fell asleep,cried,didn't eat,looked away,stopped talking,sat down,threw things,didn't listen to anyone,told people to shut up,punched someone,stopped being nice,widened his eyes,dropped his bag,cried tears of joy,laughed,smiled,1,1,1,4,4,3,5,5,4,6,1,1,4,6,5,1,1,1,1,1,2,3,1,2,4,178957,53960,91498,68189,40512,51717,34165,26330,90441,28156
47,M,english,1,4,1,5,3,2,angry,happy,surprised,sad,calm,3,0,4,2,1,laughed,ate out,smiled,gave compliments,hung out ,sat down,ate out,played games,went on computer,listened to music,listened to music,stayed in his room,isolated himself,ate food,hung out\nwith friends,yelled,got aggressive,drank alcohol,went out with friends,smoked weed,jumped,opened his mouth,yelled,talked,got scared,4,4,5,4,5,5,5,4,4,7,4,4,3,7,7,2,2,3,5,4,1,6,3,7,4,30869,34069,56674,27168,25718,22199,26112,23718,18486,30496
48,F,English,1,3,5,2,1,4,sad,surprised,calm,happy,angry,2,4,1,0,3,laughed,smiled,hugged his son,danced around,thought about the future,fell asleep,listened to music,closed his eyes,decided to try again,decided to stop talking,cried,lashed out at his wife,cuddled with his dog,sobbed,tried to focus on his work,scowled,yelled at his dog,sulked,walked away,argued with his wife,shouted,laughed out loud,lifted one eyebrow,questioned why;,looked for answers,1,2,4,1,4,1,3,1,2,2,1,2,5,1,7,1,1,1,2,1,1,2,1,1,1,40440,46861,43165,29001,26417,28673,23550,23185,22906,17450
